2023-09-04 10:58:15.382 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:20.388 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:25.394 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:30.405 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:35.410 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:40.422 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:45.425 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:50.429 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:58:55.446 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:00.454 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:05.462 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:10.466 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:15.468 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:20.470 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
